item_id,item_name,item_description,item_type,item_price,ingredients,calories,rating,sales_count,cost_per_item
39,beef appetizer,satisfying appetizer,appetizer,5.81,['beef'],867,4.38,90,2.18
40,vegetables appetizer,healthy appetizer,appetizer,16.41,['vegetables'],687,2.82,59,4.81
41,bread tofu noodles dessert,tasty dessert,dessert,14.44,"['bread', 'tofu', 'noodles']",471,4.31,96,5.95
42,tofu appetizer,satisfying appetizer,appetizer,10.92,['tofu'],869,2.73,91,2.61
43,tofu pork bread noodles appetizer,mouth-watering appetizer,appetizer,19.86,"['tofu', 'pork', 'bread', 'noodles']",410,4.5,76,9.56
44,beef vegetables noodles dessert,delicious dessert,dessert,16.91,"['beef', 'vegetables', 'noodles']",412,1.82,21,6.95
45,tofu shrimp beef noodles drink,healthy drink,drink,14.83,"['tofu', 'shrimp', 'beef', 'noodles']",374,4.78,57,8.14
46,rice bread drink,hearty drink,drink,9.05,"['rice', 'bread']",838,3.91,33,4.7
47,chicken rice appetizer,hearty appetizer,appetizer,5.59,"['chicken', 'rice']",295,1.78,65,1.19
48,rice drink,hearty drink,drink,16.13,['rice'],948,4.69,95,5.6
49,bread drink,mouth-watering drink,drink,12.45,['bread'],286,2.23,37,4.65
50,shrimp noodles dessert,mouth-watering dessert,dessert,17.11,"['shrimp', 'noodles']",208,1.53,7,7
51,shrimp noodles chicken beef drink,tasty drink,drink,14.02,"['shrimp', 'noodles', 'chicken', 'beef']",477,2.5,23,3.13
52,pork noodles chicken beef appetizer,hearty appetizer,appetizer,6.26,"['pork', 'noodles', 'chicken', 'beef']",382,2.61,84,1.52
53,fish entree,hearty entree,entree,9.19,['fish'],488,1.06,14,5.51
54,tofu bread dessert,healthy dessert,dessert,11.8,"['tofu', 'bread']",803,2.65,6,6.79
55,noodles shrimp rice chicken appetizer,mouth-watering appetizer,appetizer,10.38,"['noodles', 'shrimp', 'rice', 'chicken']",906,4.71,39,2.43
56,rice pork beef vegetables dessert,tasty dessert,dessert,15.77,"['rice', 'pork', 'beef', 'vegetables']",723,1.25,78,3.27
57,tofu vegetables chicken dessert,healthy dessert,dessert,15.49,"['tofu', 'vegetables', 'chicken']",366,3.07,18,5.28
58,vegetables dessert,healthy dessert,dessert,10.02,['vegetables'],196,3.59,22,3.63
59,beef bread dessert,tasty dessert,dessert,15.62,"['beef', 'bread']",734,4.67,64,7.96
60,rice bread beef noodles appetizer,satisfying appetizer,appetizer,7.05,"['rice', 'bread', 'beef', 'noodles']",911,1.09,34,3.87
61,tofu fish bread pork entree,tasty entree,entree,15.44,"['tofu', 'fish', 'bread', 'pork']",737,1.16,95,8.73
62,bread appetizer,hearty appetizer,appetizer,9.3,['bread'],621,1.46,10,4.26
63,beef bread vegetables tofu entree,mouth-watering entree,entree,5.02,"['beef', 'bread', 'vegetables', 'tofu']",956,1.09,93,1.13
64,fish vegetables chicken shrimp appetizer,healthy appetizer,appetizer,17.78,"['fish', 'vegetables', 'chicken', 'shrimp']",292,2.47,34,9.52
65,noodles entree,healthy entree,entree,16.47,['noodles'],525,3.21,12,7.95
66,fish entree,healthy entree,entree,7.47,['fish'],627,4.98,92,2.67
67,shrimp bread tofu appetizer,tasty appetizer,appetizer,17.56,"['shrimp', 'bread', 'tofu']",670,1.93,93,6.54
68,pork dessert,healthy dessert,dessert,17.96,['pork'],776,2.71,68,4.98
69,noodles shrimp pork entree,satisfying entree,entree,17.95,"['noodles', 'shrimp', 'pork']",874,3.48,6,7.23
70,pork beef dessert,hearty dessert,dessert,18.08,"['pork', 'beef']",260,4.71,32,7.34
71,bread pork rice fish appetizer,satisfying appetizer,appetizer,17.42,"['bread', 'pork', 'rice', 'fish']",470,2.05,75,8.52
72,rice appetizer,healthy appetizer,appetizer,16.04,['rice'],163,4.33,,5.4
73,pork shrimp chicken bread drink,satisfying drink,drink,18.66,"['pork', 'shrimp', 'chicken', 'bread']",142,2.99,47,10.77
74,tofu entree,tasty entree,entree,12.14,['tofu'],686,2.32,29,4.17
75,vegetables pork chicken appetizer,tasty appetizer,appetizer,8.74,"['vegetables', 'pork', 'chicken']",211,4.29,40,2.51
76,pork chicken fish dessert,hearty dessert,dessert,8.63,"['pork', 'chicken', 'fish']",501,3.1,20,2.97
77,noodles chicken bread drink,mouth-watering drink,drink,18.93,"['noodles', 'chicken', 'bread']",907,4.56,5,11.32
78,fish noodles chicken dessert,mouth-watering dessert,dessert,8.84,"['fish', 'noodles', 'chicken']",568,1.98,63,4.76
79,vegetables fish drink,satisfying drink,drink,19.68,"['vegetables', 'fish']",721,2.88,99,8.56
80,vegetables dessert,delicious dessert,dessert,7.5,['vegetables'],772,2.2,48,3.78
81,pork appetizer,tasty appetizer,appetizer,8.09,['pork'],133,2.3,8,4.43
82,shrimp bread beef chicken entree,hearty entree,entree,14.56,"['shrimp', 'bread', 'beef', 'chicken']",798,2.24,48,4.85
83,shrimp bread pork entree,mouth-watering entree,entree,15.43,"['shrimp', 'bread', 'pork']",193,4.69,98,3.16
84,tofu chicken vegetables drink,healthy drink,drink,19.29,"['tofu', 'chicken', 'vegetables']",141,4.64,59,6.02
85,pork tofu chicken drink,healthy drink,drink,6.72,"['pork', 'tofu', 'chicken']",891,3.62,57,2.54
86,bread tofu noodles pork dessert,delicious dessert,dessert,14.41,"['bread', 'tofu', 'noodles', 'pork']",391,2.28,54,4.53
87,tofu appetizer,hearty appetizer,appetizer,15.63,['tofu'],370,4.73,93,7.01
88,fish pork bread chicken dessert,tasty dessert,dessert,12.43,"['fish', 'pork', 'bread', 'chicken']",449,2.96,5,7.2
89,tofu chicken rice appetizer,mouth-watering appetizer,appetizer,10.93,"['tofu', 'chicken', 'rice']",105,1.73,90,3.54
90,noodles shrimp rice entree,tasty entree,entree,8.47,"['noodles', 'shrimp', 'rice']",591,3.69,12,3.56
91,fish beef appetizer,healthy appetizer,appetizer,6.38,"['fish', 'beef']",807,2.66,47,1.42
92,fish pork vegetables tofu dessert,hearty dessert,dessert,17.72,"['fish', 'pork', 'vegetables', 'tofu']",511,4.7,84,10.29
93,bread drink,healthy drink,drink,17.29,['bread'],220,2.78,60,4.98
94,pork tofu drink,delicious drink,drink,18.59,"['pork', 'tofu']",784,2.81,97,7.83
95,tofu pork shrimp noodles entree,tasty entree,entree,19.42,"['tofu', 'pork', 'shrimp', 'noodles']",825,2.76,83,5.9
96,rice drink,delicious drink,drink,14.12,['rice'],196,1.94,32,5.42
97,rice dessert,hearty dessert,dessert,7.57,['rice'],947,2.49,39,1.57
98,rice tofu beef drink,delicious drink,drink,12.61,"['rice', 'tofu', 'beef']",822,1.46,25,5.85
99,vegetables bread shrimp noodles appetizer,delicious appetizer,appetizer,14.07,"['vegetables', 'bread', 'shrimp', 'noodles']",541,1.89,52,4.91
100,pork dessert,delicious dessert,dessert,9.29,['pork'],802,3.13,54,4.6
101,beef vegetables shrimp appetizer,mouth-watering appetizer,appetizer,10.31,"['beef', 'vegetables', 'shrimp']",590,4.47,51,5.4
102,chicken rice tofu beef dessert,hearty dessert,dessert,7.86,"['chicken', 'rice', 'tofu', 'beef']",653,2.59,81,1.88
103,fish appetizer,mouth-watering appetizer,appetizer,9.28,['fish'],842,2.44,81,2.79
104,noodles dessert,satisfying dessert,dessert,19.28,['noodles'],722,3.78,46,11.09
105,bread pork noodles entree,healthy entree,entree,15.57,"['bread', 'pork', 'noodles']",720,4.91,52,6.13
106,chicken bread shrimp fish dessert,hearty dessert,dessert,13.66,"['chicken', 'bread', 'shrimp', 'fish']",953,1.69,29,6.57
107,rice chicken dessert,healthy dessert,dessert,19.15,"['rice', 'chicken']",764,2.91,30,5.76
108,noodles pork beef bread entree,tasty entree,entree,14.31,"['noodles', 'pork', 'beef', 'bread']",378,3.17,81,6.96
109,vegetables appetizer,mouth-watering appetizer,appetizer,9.11,['vegetables'],587,2.14,90,5.31
110,bread noodles tofu dessert,tasty dessert,dessert,5.49,"['bread', 'noodles', 'tofu']",599,4.18,80,1.42
111,tofu shrimp vegetables entree,satisfying entree,entree,6.09,"['tofu', 'shrimp', 'vegetables']",165,1.02,49,3.55
112,rice noodles beef chicken dessert,mouth-watering dessert,dessert,16.75,"['rice', 'noodles', 'beef', 'chicken']",954,3.65,57,9.48
113,tofu chicken drink,healthy drink,drink,9.14,"['tofu', 'chicken']",907,2.31,56,3.84
114,chicken beef entree,delicious entree,entree,5.01,"['chicken', 'beef']",785,3.73,17,1.42
115,shrimp beef dessert,delicious dessert,dessert,10.52,"['shrimp', 'beef']",427,1.67,26,5.93
116,vegetables chicken appetizer,satisfying appetizer,appetizer,18.93,"['vegetables', 'chicken']",638,4.96,85,9.57
117,chicken beef entree,tasty entree,entree,7.51,"['chicken', 'beef']",366,1.68,4,1.6
118,noodles entree,healthy entree,entree,11.58,['noodles'],217,3.96,18,6.12
119,fish pork dessert,satisfying dessert,dessert,12.58,"['fish', 'pork']",542,2.48,49,3.06
120,fish drink,satisfying drink,drink,7.82,['fish'],499,1.14,69,2.99
121,fish noodles appetizer,healthy appetizer,appetizer,7.87,"['fish', 'noodles']",518,1.42,51,2.78
122,noodles tofu bread dessert,mouth-watering dessert,dessert,16.97,"['noodles', 'tofu', 'bread']",523,1.76,92,7.77
123,shrimp dessert,tasty dessert,dessert,19.96,['shrimp'],751,3.96,1,7.73
124,rice chicken tofu fish entree,healthy entree,entree,8.04,"['rice', 'chicken', 'tofu', 'fish']",217,4.29,48,1.72
125,bread entree,healthy entree,entree,12.81,['bread'],292,2.62,67,6.18
126,tofu bread drink,delicious drink,drink,6.48,"['tofu', 'bread']",300,1.84,7,2.39
127,noodles fish dessert,delicious dessert,dessert,18.91,"['noodles', 'fish']",286,1.06,87,11.28
128,shrimp chicken beef drink,healthy drink,drink,10.35,"['shrimp', 'chicken', 'beef']",900,2.54,58,3.28
129,beef noodles tofu pork appetizer,delicious appetizer,appetizer,7.56,"['beef', 'noodles', 'tofu', 'pork']",775,2.98,13,2.69
130,beef tofu drink,healthy drink,drink,16.8,"['beef', 'tofu']",688,3.41,24,8.08
131,pork bread shrimp rice dessert,tasty dessert,dessert,7.69,"['pork', 'bread', 'shrimp', 'rice']",327,4.88,0,4.29
132,tofu entree,mouth-watering entree,entree,19.67,['tofu'],633,1.54,78,11.7
133,shrimp tofu bread entree,tasty entree,entree,7.7,"['shrimp', 'tofu', 'bread']",422,3.18,83,3.03
134,tofu rice pork chicken entree,healthy entree,entree,7.53,"['tofu', 'rice', 'pork', 'chicken']",565,3.35,18,1.63
135,beef entree,satisfying entree,entree,8.66,['beef'],717,2.27,25,2.75
136,rice tofu noodles drink,delicious drink,drink,17.25,"['rice', 'tofu', 'noodles']",794,2.85,15,4.47
137,bread tofu dessert,healthy dessert,dessert,7.66,"['bread', 'tofu']",932,4.18,15,2.98
138,fish beef tofu drink,hearty drink,drink,12.01,"['fish', 'beef', 'tofu']",799,4.61,24,3.57
139,beef shrimp bread chicken appetizer,satisfying appetizer,appetizer,15.58,"['beef', 'shrimp', 'bread', 'chicken']",161,2.44,24,3.71
140,shrimp rice vegetables chicken entree,tasty entree,entree,8.86,"['shrimp', 'rice', 'vegetables', 'chicken']",929,1.19,43,1.99
141,shrimp pork vegetables drink,healthy drink,drink,5.05,"['shrimp', 'pork', 'vegetables']",551,4.72,79,1.67
142,pork rice drink,tasty drink,drink,10.9,"['pork', 'rice']",237,3.6,68,6.02
143,rice beef shrimp appetizer,delicious appetizer,appetizer,14.07,"['rice', 'beef', 'shrimp']",943,3.94,81,7.77
144,rice chicken shrimp appetizer,satisfying appetizer,appetizer,13.63,"['rice', 'chicken', 'shrimp']",926,4.03,73,3.37
145,noodles fish entree,delicious entree,entree,6.05,"['noodles', 'fish']",505,4.19,72,2.2
146,tofu vegetables chicken appetizer,satisfying appetizer,appetizer,5.09,"['tofu', 'vegetables', 'chicken']",603,1.83,3,1.62
147,fish appetizer,mouth-watering appetizer,appetizer,18.33,['fish'],456,2.28,39,5.98
148,tofu drink,hearty drink,drink,11.83,['tofu'],826,3.43,33,6.64
149,bread appetizer,mouth-watering appetizer,appetizer,6.33,['bread'],264,3.7,92,3.1
150,bread drink,satisfying drink,drink,18.26,['bread'],209,2.4,63,10.49
151,tofu fish appetizer,mouth-watering appetizer,appetizer,17.1,"['tofu', 'fish']",758,3.68,30,5.26
152,noodles tofu drink,mouth-watering drink,drink,13.25,"['noodles', 'tofu']",522,4.28,55,2.7
153,noodles tofu shrimp entree,satisfying entree,entree,8.49,"['noodles', 'tofu', 'shrimp']",813,4.22,14,3.03
154,bread beef chicken dessert,healthy dessert,dessert,11.64,"['bread', 'beef', 'chicken']",124,4.75,79,3.1
155,rice pork beef appetizer,tasty appetizer,appetizer,16.27,"['rice', 'pork', 'beef']",923,2.85,62,6.91
156,noodles fish bread tofu drink,mouth-watering drink,drink,18.3,"['noodles', 'fish', 'bread', 'tofu']",250,4.02,81,6.7
157,vegetables appetizer,tasty appetizer,appetizer,17.29,['vegetables'],724,3.91,97,9.34
158,chicken appetizer,satisfying appetizer,appetizer,13.28,['chicken'],480,3.62,43,2.91
159,chicken entree,delicious entree,entree,18.45,['chicken'],125,2.76,83,5.35
160,pork chicken tofu noodles entree,healthy entree,entree,16.03,"['pork', 'chicken', 'tofu', 'noodles']",914,2.99,14,7.23
161,fish shrimp chicken entree,delicious entree,entree,8.75,"['fish', 'shrimp', 'chicken']",593,1.17,99,4.74
162,noodles appetizer,delicious appetizer,appetizer,9.85,['noodles'],981,2.66,6,3.69
163,bread dessert,healthy dessert,dessert,15.98,['bread'],865,4.71,30,5.13
164,shrimp tofu beef noodles appetizer,mouth-watering appetizer,appetizer,5.84,"['shrimp', 'tofu', 'beef', 'noodles']",845,3.81,30,1.66
165,noodles pork vegetables beef appetizer,delicious appetizer,appetizer,11.51,"['noodles', 'pork', 'vegetables', 'beef']",251,4.05,86,2.51
166,bread fish chicken drink,tasty drink,drink,6.16,"['bread', 'fish', 'chicken']",247,4.02,40,1.7
167,shrimp vegetables appetizer,mouth-watering appetizer,appetizer,19.34,"['shrimp', 'vegetables']",822,1.01,16,9.24
168,chicken bread drink,tasty drink,drink,15.22,"['chicken', 'bread']",901,4.54,74,6.41
169,beef chicken shrimp bread entree,healthy entree,entree,14.81,"['beef', 'chicken', 'shrimp', 'bread']",368,3.19,87,4.68
170,pork beef tofu fish appetizer,tasty appetizer,appetizer,15.65,"['pork', 'beef', 'tofu', 'fish']",110,4.67,81,7.2
171,beef shrimp dessert,hearty dessert,dessert,10.3,"['beef', 'shrimp']",958,4.82,3,5.03
172,vegetables fish pork shrimp appetizer,mouth-watering appetizer,appetizer,11.16,"['vegetables', 'fish', 'pork', 'shrimp']",101,2.5,73,2.26
173,noodles dessert,tasty dessert,dessert,11.12,['noodles'],151,3.05,65,3.29
174,shrimp dessert,delicious dessert,dessert,16.04,['shrimp'],893,3.9,67,5.54
175,fish rice pork entree,delicious entree,entree,7.01,"['fish', 'rice', 'pork']",379,1.55,56,3.37
176,vegetables fish beef chicken entree,tasty entree,entree,5.16,"['vegetables', 'fish', 'beef', 'chicken']",877,4.79,,1.7
177,rice dessert,hearty dessert,dessert,10.56,['rice'],946,1.92,70,3.75
178,fish noodles tofu chicken appetizer,hearty appetizer,appetizer,10.99,"['fish', 'noodles', 'tofu', 'chicken']",952,1.15,77,2.98
179,chicken dessert,satisfying dessert,dessert,14.61,['chicken'],734,1.9,96,3.71
180,vegetables chicken fish rice dessert,hearty dessert,dessert,7.66,"['vegetables', 'chicken', 'fish', 'rice']",785,2.53,6,4.54
181,beef shrimp noodles dessert,tasty dessert,dessert,16.03,"['beef', 'shrimp', 'noodles']",154,2.69,15,5.18
182,rice drink,hearty drink,drink,16.53,['rice'],906,2.35,7,9.35
183,shrimp tofu vegetables noodles appetizer,hearty appetizer,appetizer,10.54,"['shrimp', 'tofu', 'vegetables', 'noodles']",689,4.65,45,5.2
184,rice beef dessert,delicious dessert,dessert,14.76,"['rice', 'beef']",653,3.09,0,7.69
185,chicken entree,mouth-watering entree,entree,11.28,['chicken'],518,2.92,44,2.93
186,noodles dessert,tasty dessert,dessert,17.68,['noodles'],494,4.43,76,3.92
187,bread noodles tofu dessert,delicious dessert,dessert,13.03,"['bread', 'noodles', 'tofu']",213,4.37,10,4.13
188,fish rice tofu beef dessert,healthy dessert,dessert,13.32,"['fish', 'rice', 'tofu', 'beef']",586,3.28,69,6.83
189,pork beef rice shrimp drink,tasty drink,drink,14.26,"['pork', 'beef', 'rice', 'shrimp']",416,3.26,26,5.91
190,fish drink,mouth-watering drink,drink,13.5,['fish'],979,4.32,99,6.8
191,fish shrimp rice entree,delicious entree,entree,14.68,"['fish', 'shrimp', 'rice']",548,1.49,10,8.33
192,fish dessert,hearty dessert,dessert,7.95,['fish'],159,2.25,24,2.3
193,chicken shrimp bread dessert,delicious dessert,dessert,9.24,"['chicken', 'shrimp', 'bread']",645,2.43,71,3.03
194,chicken rice tofu bread dessert,healthy dessert,dessert,17,"['chicken', 'rice', 'tofu', 'bread']",209,1.51,62,8.45
195,rice appetizer,delicious appetizer,appetizer,7.73,['rice'],966,1.81,88,3.62
196,fish appetizer,satisfying appetizer,appetizer,11.99,['fish'],597,3.76,35,6
197,fish dessert,mouth-watering dessert,dessert,18.26,['fish'],556,4.47,3,4.3
198,pork bread noodles dessert,hearty dessert,dessert,10.77,"['pork', 'bread', 'noodles']",619,1.57,78,4.07
199,rice vegetables noodles pork dessert,delicious dessert,dessert,8.33,"['rice', 'vegetables', 'noodles', 'pork']",799,3.86,76,2.93
200,vegetables beef tofu drink,delicious drink,drink,12.03,"['vegetables', 'beef', 'tofu']",226,4.18,79,4.95
201,vegetables drink,tasty drink,drink,18.16,['vegetables'],143,4.65,4,9.91
202,rice noodles tofu beef dessert,hearty dessert,dessert,18.13,"['rice', 'noodles', 'tofu', 'beef']",140,4.54,91,5.16
203,fish bread beef drink,hearty drink,drink,14.99,"['fish', 'bread', 'beef']",997,4.71,52,6.14
204,fish bread rice vegetables dessert,tasty dessert,dessert,19,"['fish', 'bread', 'rice', 'vegetables']",700,1.72,62,10.31
205,noodles chicken pork drink,delicious drink,drink,11.12,"['noodles', 'chicken', 'pork']",821,4.02,52,6.45
206,vegetables chicken noodles bread appetizer,delicious appetizer,appetizer,7.72,"['vegetables', 'chicken', 'noodles', 'bread']",169,3.01,4,3.29
207,beef shrimp fish entree,delicious entree,entree,12.16,"['beef', 'shrimp', 'fish']",232,2.99,49,6.58
208,beef rice entree,mouth-watering entree,entree,17.26,"['beef', 'rice']",945,1.81,68,10.09
209,shrimp entree,healthy entree,entree,19.1,['shrimp'],957,1.58,19,11.22
210,noodles entree,tasty entree,entree,18.69,['noodles'],254,2.11,8,4.17
211,vegetables shrimp drink,tasty drink,drink,5.2,"['vegetables', 'shrimp']",362,3.97,84,2.67
212,tofu vegetables beef bread dessert,hearty dessert,dessert,14.23,"['tofu', 'vegetables', 'beef', 'bread']",436,1.87,67,4.18
213,bread noodles vegetables pork dessert,tasty dessert,dessert,19.34,"['bread', 'noodles', 'vegetables', 'pork']",530,4.17,0,3.99
214,rice pork vegetables shrimp drink,tasty drink,drink,19.43,"['rice', 'pork', 'vegetables', 'shrimp']",316,3.39,22,6.25
215,bread vegetables pork noodles dessert,satisfying dessert,dessert,15.23,"['bread', 'vegetables', 'pork', 'noodles']",349,2.39,6,6.54
216,beef noodles drink,healthy drink,drink,17.92,"['beef', 'noodles']",305,4.18,25,5.08
217,noodles vegetables entree,hearty entree,entree,13.52,"['noodles', 'vegetables']",348,2.43,96,6.83
218,tofu shrimp bread dessert,delicious dessert,dessert,15.07,"['tofu', 'shrimp', 'bread']",790,4.87,60,4.16
219,pork chicken shrimp beef dessert,hearty dessert,dessert,18.31,"['pork', 'chicken', 'shrimp', 'beef']",413,4.41,42,7.97
220,chicken fish beef drink,mouth-watering drink,drink,0,"['chicken', 'fish', 'beef']",399,4.47,42,2.13
221,vegetables beef appetizer,hearty appetizer,appetizer,18.52,"['vegetables', 'beef']",893,1.89,45,8.29
222,noodles appetizer,satisfying appetizer,appetizer,18.56,['noodles'],982,4.23,36,6.41
223,vegetables dessert,hearty dessert,dessert,8.53,['vegetables'],594,3.66,18,3.73
224,vegetables bread drink,tasty drink,drink,19.01,"['vegetables', 'bread']",247,4,84,8.2
225,pork appetizer,healthy appetizer,appetizer,12.71,['pork'],313,3.95,71,6.3
226,tofu shrimp drink,tasty drink,drink,6.31,"['tofu', 'shrimp']",883,4.05,22,2.19
227,shrimp tofu bread drink,delicious drink,drink,7.74,"['shrimp', 'tofu', 'bread']",165,1.87,20,3.19
228,shrimp fish vegetables noodles entree,tasty entree,entree,9.96,"['shrimp', 'fish', 'vegetables', 'noodles']",778,1.74,13,4.75
229,fish beef bread drink,delicious drink,drink,18.35,"['fish', 'beef', 'bread']",417,3.49,58,8.26
230,chicken rice drink,satisfying drink,drink,6.4,"['chicken', 'rice']",904,3.25,25,1.9
231,vegetables pork rice shrimp drink,satisfying drink,drink,13.07,"['vegetables', 'pork', 'rice', 'shrimp']",609,4.05,20,3.05
232,rice drink,delicious drink,drink,10.1,['rice'],255,2.86,30,2.43
233,rice bread beef appetizer,tasty appetizer,appetizer,18.42,"['rice', 'bread', 'beef']",106,4.92,52,5.26
234,noodles beef appetizer,mouth-watering appetizer,appetizer,7.69,"['noodles', 'beef']",414,3.1,62,2.98
235,fish chicken beef drink,satisfying drink,drink,7.47,"['fish', 'chicken', 'beef']",852,2.5,54,2.54
236,fish tofu dessert,mouth-watering dessert,dessert,15.85,"['fish', 'tofu']",984,1.43,13,8.12
237,rice pork vegetables entree,tasty entree,entree,14.36,"['rice', 'pork', 'vegetables']",252,3.96,100,8.26
238,noodles beef appetizer,satisfying appetizer,appetizer,13.19,"['noodles', 'beef']",820,2.52,49,6.52
239,tofu beef appetizer,hearty appetizer,appetizer,7.75,"['tofu', 'beef']",258,2.15,19,1.76
240,fish drink,hearty drink,drink,7.85,['fish'],216,3.8,21,4.09
241,fish dessert,mouth-watering dessert,dessert,13.96,['fish'],543,2.47,49,3.32
242,chicken vegetables dessert,tasty dessert,dessert,10.48,"['chicken', 'vegetables']",146,3.94,89,3.95
243,noodles tofu dessert,healthy dessert,dessert,18.36,"['noodles', 'tofu']",820,2.14,36,7.5
244,chicken shrimp rice drink,delicious drink,drink,7.63,"['chicken', 'shrimp', 'rice']",920,4.99,47,4.11
245,shrimp entree,hearty entree,entree,12.68,['shrimp'],808,4.96,75,7.22
246,tofu pork noodles vegetables entree,delicious entree,entree,14.8,"['tofu', 'pork', 'noodles', 'vegetables']",783,1.58,6,7.75
247,beef chicken appetizer,satisfying appetizer,appetizer,17.49,"['beef', 'chicken']",910,4.85,54,5.17
248,beef shrimp noodles bread dessert,mouth-watering dessert,dessert,13.77,"['beef', 'shrimp', 'noodles', 'bread']",312,1.35,8,4.62
249,shrimp noodles beef dessert,tasty dessert,dessert,15.57,"['shrimp', 'noodles', 'beef']",268,3.74,31,4.31
250,tofu rice dessert,healthy dessert,dessert,9.66,"['tofu', 'rice']",209,1.25,76,2.77
251,shrimp drink,mouth-watering drink,drink,15.47,['shrimp'],290,3.64,94,7.71
252,vegetables shrimp bread entree,tasty entree,entree,11.54,"['vegetables', 'shrimp', 'bread']",809,3.62,22,4.92
253,pork shrimp tofu beef appetizer,healthy appetizer,appetizer,16.39,"['pork', 'shrimp', 'tofu', 'beef']",610,3.23,91,4.75
254,chicken vegetables bread dessert,delicious dessert,dessert,5.75,"['chicken', 'vegetables', 'bread']",634,2.54,34,1.56
255,beef shrimp rice drink,satisfying drink,drink,11.38,"['beef', 'shrimp', 'rice']",330,3.63,36,5.57
